"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Aug-2021","    15874.90","    15892.90","    15834.65","    15885.15","      244847433","        20766.99"
"03-Aug-2021","    15951.55","    16146.90","    15914.35","    16130.75","      341289658","        26373.24"
"04-Aug-2021","    16195.25","    16290.20","    16176.15","    16258.80","      427337644","        32434.78"
"05-Aug-2021","    16288.95","    16349.45","    16210.30","    16294.60","      418174517","        31386.78"
"06-Aug-2021","    16304.40","    16336.75","    16223.30","    16238.20","      320087281","        24716.17"
"09-Aug-2021","    16281.35","    16320.75","    16179.05","    16258.25","      240452917","        18302.03"
"10-Aug-2021","    16274.80","    16359.25","    16202.25","    16280.10","      287989486","        22600.38"
"11-Aug-2021","    16327.30","    16338.75","    16162.55","    16282.25","      277895886","        20306.59"
"12-Aug-2021","    16303.65","    16375.50","    16286.90","    16364.40","      280181324","        18548.87"
"13-Aug-2021","    16385.70","    16543.60","    16376.30","    16529.10","      321866286","        27163.08"
"16-Aug-2021","    16518.40","    16589.40","    16480.75","    16563.05","      254049330","        21456.20"
"17-Aug-2021","    16545.25","    16628.55","    16495.40","    16614.60","      297388470","        25696.44"
"18-Aug-2021","    16691.95","    16701.85","    16535.85","    16568.85","      251796822","        22721.54"
"20-Aug-2021","    16382.50","    16509.55","    16376.05","    16450.50","      350819323","        30118.23"
"23-Aug-2021","    16592.25","    16592.50","    16395.70","    16496.45","      275597782","        24355.77"
"24-Aug-2021","    16561.40","    16647.10","    16495.30","    16624.60","      275362819","        24992.32"
"25-Aug-2021","    16654.00","    16712.45","    16617.50","    16634.65","      265920141","        22210.60"
"26-Aug-2021","    16627.95","    16683.70","    16603.40","    16636.90","      253530997","        22320.21"
"27-Aug-2021","    16642.55","    16722.05","    16565.60","    16705.20","      217405743","        20499.85"
"30-Aug-2021","    16775.85","    16951.50","    16764.85","    16931.05","      283483108","        23615.87"
"31-Aug-2021","    16947.50","    17153.50","    16915.85","    17132.20","      464390247","        40147.89"
"01-Sep-2021","    17185.60","    17225.75","    17055.05","    17076.25","      301894634","        27691.93"
"02-Sep-2021","    17095.40","    17245.50","    17059.70","    17234.15","      242377518","        22620.36"
"03-Sep-2021","    17262.45","    17340.10","    17212.20","    17323.60","      261373795","        23579.17"
"06-Sep-2021","    17399.35","    17429.55","    17345.55","    17377.80","      228045532","        21270.62"
"07-Sep-2021","    17401.55","    17436.50","    17287.00","    17362.10","      243417811","        19848.94"
"08-Sep-2021","    17375.75","    17383.40","    17254.20","    17353.50","      252652423","        22696.35"
"09-Sep-2021","    17312.85","    17379.65","    17302.70","    17369.25","      241509352","        17719.78"
"13-Sep-2021","    17363.55","    17378.35","    17269.15","    17355.30","      241053924","        18498.63"
"14-Sep-2021","    17420.35","    17438.55","    17367.05","    17380.00","      230354386","        18702.82"
"15-Sep-2021","    17387.65","    17532.70","    17386.90","    17519.45","      388191629","        24256.80"
"16-Sep-2021","    17539.20","    17644.60","    17510.45","    17629.50","      503310763","        30189.77"
"17-Sep-2021","    17709.65","    17792.95","    17537.65","    17585.15","      508285916","        43345.58"
"20-Sep-2021","    17443.85","    17622.75","    17361.80","    17396.90","      339102046","        25304.27"
"21-Sep-2021","    17450.50","    17578.35","    17326.10","    17562.00","      363578479","        26520.99"
"22-Sep-2021","    17580.90","    17610.45","    17524.00","    17546.65","      295191136","        21772.23"
"23-Sep-2021","    17670.85","    17843.90","    17646.55","    17822.95","      320514486","        25005.36"
"24-Sep-2021","    17897.45","    17947.65","    17819.40","    17853.20","      360130853","        30787.59"
"27-Sep-2021","    17932.20","    17943.50","    17802.90","    17855.10","      295714657","        24244.98"
"28-Sep-2021","    17906.45","    17912.85","    17576.10","    17748.60","      397997281","        27055.36"
"29-Sep-2021","    17657.95","    17781.75","    17608.15","    17711.30","      562237732","        30621.28"
"30-Sep-2021","    17718.90","    17742.15","    17585.35","    17618.15","      378592721","        27167.19"
"01-Oct-2021","    17531.90","    17557.15","    17452.90","    17532.05","      305763919","        20911.61"
"04-Oct-2021","    17615.55","    17750.90","    17581.35","    17691.25","      295761839","        21343.51"
"05-Oct-2021","    17661.35","    17833.45","    17640.90","    17822.30","      427000191","        23066.80"
"06-Oct-2021","    17861.50","    17884.60","    17613.15","    17646.00","      395833550","        24504.30"
"07-Oct-2021","    17810.55","    17857.55","    17763.80","    17790.35","      419890959","        27371.98"
"08-Oct-2021","    17886.85","    17941.85","    17840.35","    17895.20","      324066351","        22778.68"
"11-Oct-2021","    17867.55","    18041.95","    17839.10","    17945.95","      375756457","        29000.20"
"12-Oct-2021","    17915.80","    18008.65","    17864.95","    17991.95","      355568313","        26491.42"
"13-Oct-2021","    18097.85","    18197.80","    18050.75","    18161.75","      506679748","        34503.00"
